Most important legitimate n_grams
499. -sa - freq: 60
500. _ca - freq: 60
501. aut - freq: 60
502. dea - freq: 60
503. ere - freq: 60
504. ien - freq: 60
505. it- - freq: 60
506. lic - freq: 60
507. m_c - freq: 60
508. ook - freq: 60
509. rit - freq: 60
510. %db - freq: 59
511. /.r - freq: 59
512. 6%d - freq: 59
513. aig - freq: 59
514. alt - freq: 59
515. db% - freq: 59
516. ia. - freq: 59
517. ick - freq: 59
518. igh - freq: 59
519. m/w - freq: 59
520. n-t - freq: 59
521. nti - freq: 59
522. ood - freq: 59
523. rt- - freq: 59
524. s-d - freq: 59
525. war - freq: 59
526. /10 - freq: 58
527. 154 - freq: 58
528. ell - freq: 58
529. gen - freq: 58
530. lea - freq: 58
531. ock - freq: 58
532. oti - freq: 58
533. ria - freq: 58
534. uni - freq: 58
535. a8% - freq: 57
536. c%e - freq: 57
537. e-b - freq: 57
538. e-m - freq: 57
539. e-p - freq: 57
540. fir - freq: 57
541. ici - freq: 57
542. lat - freq: 57
543. m/d - freq: 57
544. mon - freq: 57
545. s-p - freq: 57
546. tai - freq: 57
547. uk/ - freq: 57
548. %aa - freq: 56
549. -fa - freq: 56
550. -mi - freq: 56
551. _me - freq: 56
552. als - freq: 56
553. ans - freq: 56
554. ces - freq: 56
555. ch- - freq: 56
556. dis - freq: 56
557. fro - freq: 56
558. s-i - freq: 56
559. sig - freq: 56
560. -al - freq: 55
561. -so - freq: 55
562. -te - freq: 55
563. //p - freq: 55
564. 3%8 - freq: 55
565. att - freq: 55
566. b%8 - freq: 55
567. cli - freq: 55
568. eas - freq: 55
569. epo - freq: 55
570. hop - freq: 55
571. ns/ - freq: 55
572. tte - freq: 55
573. wit - freq: 55
574. /.o - freq: 54
575. /me - freq: 54
576. 85% - freq: 54
577. dit - freq: 54
578. ian - freq: 54
579. m/b - freq: 54
580. nin - freq: 54
581. on/ - freq: 54
582. ork - freq: 54
583. ote - freq: 54
584. ra- - freq: 54
585. rad - freq: 54
586. ren - freq: 54
587. tat - freq: 54
588. tch - freq: 54
589. ust - freq: 54
590. x.c - freq: 54
591. -bo - freq: 53
592. -pe - freq: 53
593. /ga - freq: 53
594. /we - freq: 53
595. 86% - freq: 53
596. ?ut - freq: 53
597. ash - freq: 53
598. e%e - freq: 53
599. ern - freq: 53
600. err - freq: 53
601. ex. - freq: 53
602. lis - freq: 53
603. nta - freq: 53
604. ong - freq: 53
605. sio - freq: 53
606. ss- - freq: 53
607. t-a - freq: 53
608. tre - freq: 53
609. um= - freq: 53
610. -bu - freq: 52
611. -da - freq: 52
612. .uk - freq: 52
613. /sh - freq: 52
614. 8a% - freq: 52
615. be% - freq: 52
616. chi - freq: 52
617. cre - freq: 52
618. day - freq: 52
619. e-f - freq: 52
620. e-l - freq: 52
621. e-w - freq: 52
622. ego - freq: 52
623. enc - freq: 52
624. exp - freq: 52
625. hat - freq: 52
626. ous - freq: 52
627. ry/ - freq: 52
628. sco - freq: 52
629. ss. - freq: 52
630. tri - freq: 52
631. ves - freq: 52
632. -fr - freq: 51
633. -po - freq: 51
634. -ve - freq: 51
635. .tr - freq: 51
636. 6%b - freq: 51
637. ama - freq: 51
638. ars - freq: 51
639. ath - freq: 51
640. atu - freq: 51
641. ck- - freq: 51
642. eni - freq: 51
643. ens - freq: 51
644. gn= - freq: 51
645. ld- - freq: 51
646. m/g - freq: 51
647. n-s - freq: 51
648. nda - freq: 51
649. obi - freq: 51
650. ple - freq: 51
