Most important phishing n_grams
625. //r - freq: 64
626. 277 - freq: 64
627. 546 - freq: 64
628. 616 - freq: 64
629. for - freq: 64
630. hem - freq: 64
631. l.h - freq: 64
632. nne - freq: 64
633. pre - freq: 64
634. s.m - freq: 64
635. t/i - freq: 64
636. tre - freq: 64
637. .17 - freq: 63
638. //u - freq: 63
639. 130 - freq: 63
640. 2e9 - freq: 63
641. 645 - freq: 63
642. 657 - freq: 63
643. 666 - freq: 63
644. 726 - freq: 63
645. anc - freq: 63
646. cal - freq: 63
647. ll/ - freq: 63
648. n=1 - freq: 63
649. oba - freq: 63
650. pur - freq: 63
651. tep - freq: 63
652. 005 - freq: 62
653. 273 - freq: 62
654. att - freq: 62
655. cho - freq: 62
656. d26 - freq: 62
657. e-c - freq: 62
658. e63 - freq: 62
659. k.c - freq: 62
660. lan - freq: 62
661. te/ - freq: 62
662. tiv - freq: 62
663. 019 - freq: 61
664. 382 - freq: 61
665. 3a7 - freq: 61
666. 5dc - freq: 61
667. 757 - freq: 61
668. 77d - freq: 61
669. =13 - freq: 61
670. =en - freq: 61
671. ama - freq: 61
672. ast - freq: 61
673. dad - freq: 61
674. ell - freq: 61
675. leg - freq: 61
676. nal - freq: 61
677. nti - freq: 61
678. s/t - freq: 61
679. t.a - freq: 61
680. 144 - freq: 60
681. 954 - freq: 60
682. b27 - freq: 60
683. dir - freq: 60
684. ink - freq: 60
685. //f - freq: 59
686. //h - freq: 59
687. 077 - freq: 59
688. 205 - freq: 59
689. 3f6 - freq: 59
690. 620 - freq: 59
691. 6f7 - freq: 59
692. 75b - freq: 59
693. bal - freq: 59
694. css - freq: 59
695. dbd - freq: 59
696. ill - freq: 59
697. ime - freq: 59
698. n.1 - freq: 59
699. ox. - freq: 59
700. pxn - freq: 59
701. t/t - freq: 59
702. tes - freq: 59
703. vic - freq: 59
704. xn. - freq: 59
705. /.p - freq: 58
706. /cs - freq: 58
707. /us - freq: 58
708. 175 - freq: 58
709. 627 - freq: 58
710. 697 - freq: 58
711. 736 - freq: 58
712. 91f - freq: 58
713. ce/ - freq: 58
714. f6d - freq: 58
715. f73 - freq: 58
716. ht. - freq: 58
717. kin - freq: 58
718. m/l - freq: 58
719. m/m - freq: 58
720. m/p - freq: 58
721. nd= - freq: 58
722. nt. - freq: 58
723. ook - freq: 58
724. str - freq: 58
725. te. - freq: 58
726. /sy - freq: 57
727. ce3 - freq: 57
728. e08 - freq: 57
729. etw - freq: 57
730. f14 - freq: 57
731. fr/ - freq: 57
732. lut - freq: 57
733. nce - freq: 57
734. sol - freq: 57
735. t/a - freq: 57
736. ult - freq: 57
737. .12 - freq: 56
738. /cr - freq: 56
739. 12e - freq: 56
740. 299 - freq: 56
741. 36f - freq: 56
742. 829 - freq: 56
743. a/b - freq: 56
744. ata - freq: 56
745. av. - freq: 56
746. c00 - freq: 56
747. f56 - freq: 56
748. ghf - freq: 56
749. l/l - freq: 56
750. lou - freq: 56
751. mod - freq: 56
752. re/ - freq: 56
753. u.c - freq: 56
754. /at - freq: 55
755. 012 - freq: 55
756. 17e - freq: 55
757. 261 - freq: 55
758. 687 - freq: 55
759. 81c - freq: 55
760. 86f - freq: 55
761. ase - freq: 55
762. cac - freq: 55
763. f38 - freq: 55
764. loc - freq: 55
765. rma - freq: 55
766. &em - freq: 54
767. 249 - freq: 54
768. 691 - freq: 54
769. are - freq: 54
770. ca. - freq: 54
771. glo - freq: 54
772. lob - freq: 54
773. oad - freq: 54
774. rve - freq: 54
775. /au - freq: 53
776. 1f1 - freq: 53
777. 23f - freq: 53
778. 6f4 - freq: 53
779. 980 - freq: 53
780. ace - freq: 53
781. d19 - freq: 53
782. dfd - freq: 53
783. era - freq: 53
784. tor - freq: 53
785. 151 - freq: 52
786. 474 - freq: 52
787. 558 - freq: 52
788. 659 - freq: 52
789. 6e7 - freq: 52
790. 987 - freq: 52
791. =1& - freq: 52
792. ard - freq: 52
793. bbf - freq: 52
794. c61 - freq: 52
795. chi - freq: 52
796. dob - freq: 52
797. eyo - freq: 52
798. gro - freq: 52
799. ini - freq: 52
